Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00012027184216136,-0.000110225979837793,0.100099668100807,0,0,0,0.00137242734628835,4.93979095549687E-07,-7.18253026975473E-23,2.47584030144931E-23,4.93979095549688E-07,9.07370670625977E-25,9.85513400197068E-07,0,0,0,0,0,0,package://new_arm/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://new_arm/meshes/base_link.STL,,a-1-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_Link,0.000120271842160374,-0.0447893653096206,0.0453999999999996,0,0,0,0.00131108775038631,4.84275957119598E-07,1.06491144145097E-22,-3.1887906187469E-23,9.66094911856522E-07,4.44179641532351E-23,4.84275957119598E-07,0,0,0,0,0,0,package://new_arm/meshes/1_Link.STL,1,0.6,0,1,0,0,0,0,0,0,package://new_arm/meshes/1_Link.STL,,A-2-2,坐标系1,基准轴1,1_join,revolute,0,0,0.1155,0,0,0,base_link,0,0,1,1,0,-3.05,3.05,,,,,,,,
2_Link,0.000192472426294013,-0.0945429296459426,0.0035344610221747,0,0,0,0.101643245272993,0.00054341166795781,-1.21559296393352E-05,1.08666231487326E-07,5.37176770081941E-05,2.15760973431612E-06,0.000584569333425057,0,0,0,0,0,0,package://new_arm/meshes/2_Link.STL,1,1,0,1,0,0,0,0,0,0,package://new_arm/meshes/2_Link.STL,,A-3-2,坐标系2,基准轴2,2_join,revolute,0.00010086,-0.05551,0.045437,-1.5708,0,0,1_Link,0,0,-1,1,0,-3.05,3.05,,,,,,,,
3_Link,0.0133258952201139,-0.00410583828256395,0.0232750153646895,0,0,0,0.000809296258931483,1.78283138325869E-07,1.07228749406232E-24,3.3247171392602E-24,1.26413626686116E-07,-4.9452068731666E-23,2.00721687229904E-07,0,0,0,0,0,0,package://new_arm/meshes/3_Link.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,package://new_arm/meshes/3_Link.STL,,A-4-2,坐标系3,基准轴3,3_join,revolute,-0.00010969,-0.20005,0.0185,0,0,0,2_Link,0,0,-1,1,0,-3.05,3.05,,,,,,,,
4_Link,6.87019915858178E-05,-0.000355824213657143,0.079569974673646,0,0,0,0.113855209034374,0.000383167160786053,-3.49590241963328E-07,3.96931495666183E-06,0.000365651820614139,1.23976313155062E-06,0.000121865325503606,0,0,0,0,0,0,package://new_arm/meshes/4_Link.STL,1,1,0,1,0,0,0,0,0,0,package://new_arm/meshes/4_Link.STL,,A-5-2,坐标系4,基准轴4,4_join,revolute,0.071553,-0.021421,0.042136,-1.5708,0,-1.5708,3_Link,0,0,1,1,0,-3.05,3.05,,,,,,,,
5_Link,0.0234333615612934,-2.07164631926826E-05,-0.0167505450738613,0,0,0,0.04488608490997,1.31426559954384E-05,3.30348990187723E-08,-5.26497717741656E-07,3.06725882559894E-05,1.49766876747997E-09,3.37782442895733E-05,0,0,0,0,0,0,package://new_arm/meshes/5_Link.STL,0,0,0,1,0,0,0,0,0,0,package://new_arm/meshes/5_Link.STL,,A-6-6,坐标系5,基准轴5,5_join,revolute,-0.00013107,-0.016964,0.14858,-1.5752,-1.5708,3.1416,4_Link,0,0,-1,1,0,-3.05,3.05,,,,,,,,
6_Link,0.00534355698495642,-0.000117330013118231,0.0202068169966816,0,0,0,0.0930953314559142,6.34028894812872E-05,-6.83112393814448E-07,-4.18895930504924E-06,3.13825063977606E-05,-7.33373636380612E-07,6.18259321789603E-05,0,0,0,0,0,0,package://new_arm/meshes/6_Link.STL,0,0,0,1,0,0,0,0,0,0,package://new_arm/meshes/6_Link.STL,,A-7-6,坐标系6,基准轴6,6_join,revolute,0.05286,-5.5958E-05,-0.016964,-1.5708,0.0044278,-1.5708,5_Link,0,0,1,1,0,-3.05,3.05,,,,,,,,
